HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0001072	OG0001029	n0	KBS0714_01205	SA211_00924	AS2_01682	KD33716_01580
N0.HOG0001073	OG0001030	n0	KBS0714_01206	SA211_00925	AS2_01681	KD33716_01579
N0.HOG0001074	OG0001031	n0	KBS0714_01207	SA211_00926	AS2_01680	KD33716_01578
N0.HOG0001075	OG0001032	n0	KBS0714_01208	SA211_00927	AS2_01679	KD33716_01577
N0.HOG0001076	OG0001033	n0	KBS0714_01209	SA211_00928	AS2_01678	KD33716_01576
N0.HOG0001077	OG0001034	n0	KBS0714_01210	SA211_00929	AS2_01677	KD33716_01575
N0.HOG0001078	OG0001035	n0	KBS0714_01211	SA211_00930	AS2_01676	KD33716_01574
N0.HOG0001079	OG0001036	n0	KBS0714_01213	SA211_00932	AS2_01675	KD33716_01572
N0.HOG0001080	OG0001037	n0	KBS0714_01214	SA211_00933	AS2_01674	KD33716_01571
N0.HOG0001081	OG0001038	n0	KBS0714_01215	SA211_00934	AS2_01673	KD33716_01570
N0.HOG0001082	OG0001039	n0	KBS0714_01216	SA211_00935	AS2_01672	KD33716_01569
N0.HOG0001083	OG0001040	n0	KBS0714_01217	SA211_00936	AS2_01671	KD33716_01568
N0.HOG0001084	OG0001041	n0	KBS0714_01218	SA211_00937	AS2_01670	KD33716_01567
N0.HOG0001085	OG0001042	n0	KBS0714_01219	SA211_00938	AS2_01669	KD33716_01566
N0.HOG0001086	OG0001043	n0	KBS0714_01220	SA211_00939	AS2_01668	KD33716_01565
N0.HOG0001087	OG0001044	n0	KBS0714_01221	SA211_00940	AS2_01667	KD33716_01564
N0.HOG0001088	OG0001045	n0	KBS0714_01222	SA211_00941	AS2_01666	KD33716_01563
N0.HOG0001089	OG0001046	n0	KBS0714_01224	SA211_00943	AS2_01664	KD33716_01561
N0.HOG0001090	OG0001047	n0	KBS0714_01225	SA211_00944	AS2_01663	KD33716_01560
N0.HOG0001091	OG0001048	n0	KBS0714_01226	SA211_00945	AS2_01662	KD33716_01559
N0.HOG0001092	OG0001049	n0	KBS0714_01227	SA211_00946	AS2_01661	KD33716_01558
N0.HOG0001093	OG0001050	n0	KBS0714_01228	SA211_00947	AS2_01660	KD33716_01557
N0.HOG0001094	OG0001051	n0	KBS0714_01229	SA211_00948	AS2_01659	KD33716_01556
N0.HOG0001095	OG0001052	n0	KBS0714_01230	SA211_00949	AS2_01658	KD33716_01555
N0.HOG0001096	OG0001053	n0	KBS0714_01231	SA211_00950	AS2_01657	KD33716_01554
N0.HOG0001097	OG0001054	n0	KBS0714_01232	SA211_00951	AS2_01656	KD33716_01553
N0.HOG0001098	OG0001055	n0	KBS0714_01234	SA211_00953	AS2_01654	KD33716_01551
N0.HOG0001099	OG0001056	n0	KBS0714_01235	SA211_00954	AS2_01653	KD33716_01550
N0.HOG0001100	OG0001057	n0	KBS0714_01236	SA211_00955	AS2_01652	KD33716_01549
N0.HOG0001101	OG0001058	n0	KBS0714_01237	SA211_00956	AS2_01651	KD33716_01548
N0.HOG0001102	OG0001059	n0	KBS0714_01238	SA211_00957	AS2_01650	KD33716_01547
N0.HOG0001103	OG0001060	n0	KBS0714_01239	SA211_00958	AS2_01649	KD33716_01546
N0.HOG0001104	OG0001061	n0	KBS0714_01240	SA211_00959	AS2_01648	KD33716_01545
N0.HOG0001105	OG0001062	n0	KBS0714_01241	SA211_00960	AS2_01647	KD33716_01544
N0.HOG0001106	OG0001063	n0	KBS0714_01242	SA211_00961	AS2_01646	KD33716_01543
N0.HOG0001107	OG0001064	n0	KBS0714_01243	SA211_00962	AS2_01645	KD33716_01542
N0.HOG0001108	OG0001065	n0	KBS0714_01245	SA211_00964	AS2_01643	KD33716_01540
N0.HOG0001109	OG0001066	n0	KBS0714_01246	SA211_00965	AS2_01642	KD33716_01539
N0.HOG0001110	OG0001067	n0	KBS0714_01247	SA211_00966	AS2_01641	KD33716_01538
N0.HOG0001111	OG0001068	n0	KBS0714_01248	SA211_00967	AS2_01640	KD33716_01537
N0.HOG0001112	OG0001069	n0	KBS0714_01249	SA211_00968	AS2_01639	KD33716_01536
N0.HOG0001113	OG0001070	n0	KBS0714_01250	SA211_00969	AS2_01638	KD33716_01535
N0.HOG0001114	OG0001071	n0	KBS0714_01251	SA211_00970	AS2_01637	KD33716_01534
N0.HOG0001115	OG0001072	n0	KBS0714_01252	SA211_00971	AS2_01636	KD33716_01533
N0.HOG0001116	OG0001073	n0	KBS0714_01253	SA211_00972	AS2_01635	KD33716_01532
N0.HOG0001117	OG0001074	n0	KBS0714_01254	SA211_00973	AS2_01634	KD33716_01531
N0.HOG0001118	OG0001075	n0	KBS0714_01255	SA211_00974	AS2_01633	KD33716_01530
N0.HOG0001119	OG0001076	n0	KBS0714_01256	SA211_00975	AS2_01632	KD33716_01529
N0.HOG0001120	OG0001077	n0	KBS0714_01257	SA211_00976	AS2_01630	KD33716_01528
N0.HOG0001121	OG0001078	n0	KBS0714_01258	SA211_00977	AS2_01629	KD33716_01527
N0.HOG0001122	OG0001079	n0	KBS0714_01259	SA211_00978	AS2_01628	KD33716_01526
N0.HOG0001123	OG0001080	n0	KBS0714_01260	SA211_00979	AS2_00445	KD33716_01525
N0.HOG0001124	OG0001081	n0	KBS0714_01261	SA211_00980	AS2_01627	KD33716_01524
N0.HOG0001125	OG0001082	n0	KBS0714_01262	SA211_00981	AS2_01626	KD33716_01522
N0.HOG0001126	OG0001083	n0	KBS0714_01263	SA211_00982	AS2_01624	KD33716_01521
N0.HOG0001127	OG0001084	n0	KBS0714_01264	SA211_00983	AS2_01623	KD33716_01520
N0.HOG0001128	OG0001085	n0	KBS0714_01265	SA211_00984	AS2_01622	KD33716_01517
N0.HOG0001129	OG0001086	n0	KBS0714_01266	SA211_00985	AS2_01621	KD33716_01516
N0.HOG0001130	OG0001087	n0	KBS0714_01267	SA211_00986	AS2_01620	KD33716_01515
N0.HOG0001131	OG0001088	n0	KBS0714_01268	SA211_00987	AS2_01619	KD33716_01514
N0.HOG0001132	OG0001089	n0	KBS0714_01269	SA211_00988	AS2_01618	KD33716_01513
N0.HOG0001133	OG0001090	n0	KBS0714_01270	SA211_00989	AS2_01617	KD33716_01512
N0.HOG0001134	OG0001091	n0	KBS0714_01271	SA211_00990	AS2_01616	KD33716_01511
N0.HOG0001135	OG0001092	n0	KBS0714_01272	SA211_00991	AS2_01615	KD33716_01510
N0.HOG0001136	OG0001093	n0	KBS0714_01273	SA211_00992	AS2_01614	KD33716_01509
N0.HOG0001137	OG0001094	n0	KBS0714_01274	SA211_00993	AS2_01613	KD33716_01508
N0.HOG0001138	OG0001095	n0	KBS0714_01275	SA211_00994	AS2_01612	KD33716_01507
N0.HOG0001139	OG0001096	n0	KBS0714_01276	SA211_00995	AS2_01611	KD33716_01506
N0.HOG0001140	OG0001097	n0	KBS0714_01277	SA211_00996	AS2_01610	KD33716_01505
N0.HOG0001141	OG0001098	n0	KBS0714_01278	SA211_00997	AS2_01609	KD33716_01504
N0.HOG0001142	OG0001099	n0	KBS0714_01279	SA211_00998	AS2_01607	KD33716_01502
N0.HOG0001143	OG0001100	n0	KBS0714_01280	SA211_00999	AS2_01606	KD33716_01501
N0.HOG0001144	OG0001101	n0	KBS0714_01281	SA211_01000	AS2_01605	KD33716_01500
N0.HOG0001145	OG0001102	n0	KBS0714_01282	SA211_01001	AS2_01603	KD33716_01499
N0.HOG0001146	OG0001103	n0	KBS0714_01283	SA211_01002	AS2_01602	KD33716_01498
N0.HOG0001147	OG0001104	n0	KBS0714_01284	SA211_01003	AS2_01601	KD33716_01497
N0.HOG0001148	OG0001105	n0	KBS0714_01286	SA211_01005	AS2_01599	KD33716_01495
N0.HOG0001149	OG0001106	n0	KBS0714_01287	SA211_01006	AS2_01598	KD33716_01494
N0.HOG0001150	OG0001107	n0	KBS0714_01295	SA211_01018	AS2_01597	KD33716_01493
N0.HOG0001151	OG0001108	n0	KBS0714_01296	SA211_01019	AS2_01596	KD33716_01492
N0.HOG0001152	OG0001109	n0	KBS0714_01297	SA211_01020	AS2_01595	KD33716_01491
N0.HOG0001153	OG0001110	n0	KBS0714_01298	SA211_01021	AS2_01594	KD33716_01490
N0.HOG0001154	OG0001111	n0	KBS0714_01299	SA211_01022	AS2_01593	KD33716_01489
N0.HOG0001155	OG0001112	n0	KBS0714_01300	SA211_01023	AS2_01592	KD33716_01488
N0.HOG0001156	OG0001113	n0	KBS0714_01301	SA211_01024	AS2_01591	KD33716_01487
N0.HOG0001157	OG0001114	n0	KBS0714_01302	SA211_01025	AS2_01590	KD33716_01486
N0.HOG0001158	OG0001115	n0	KBS0714_01303	SA211_01026	AS2_01589	KD33716_01485
N0.HOG0001159	OG0001116	n0	KBS0714_01304	SA211_01027	AS2_01588	KD33716_01484
N0.HOG0001160	OG0001117	n0	KBS0714_01305	SA211_01028	AS2_01587	KD33716_01483
N0.HOG0001161	OG0001118	n0	KBS0714_01307	SA211_01030	AS2_01585	KD33716_01481
N0.HOG0001162	OG0001119	n0	KBS0714_01308	SA211_01031	AS2_01584	KD33716_01480
N0.HOG0001163	OG0001120	n0	KBS0714_01309	SA211_01032	AS2_01583	KD33716_01479
N0.HOG0001164	OG0001121	n0	KBS0714_01310	SA211_01033	AS2_01582	KD33716_01478
N0.HOG0001165	OG0001122	n0	KBS0714_01311	SA211_01034	AS2_01581	KD33716_01477
N0.HOG0001166	OG0001123	n0	KBS0714_01312	SA211_01035	AS2_01580	KD33716_01476
N0.HOG0001167	OG0001124	n0	KBS0714_01313	SA211_01036	AS2_01579	KD33716_01475
N0.HOG0001168	OG0001125	n0	KBS0714_01315		AS2_01577, AS2_02666	KD33716_01473
N0.HOG0001169	OG0001126	n0	KBS0714_01316	SA211_01037	AS2_01576	KD33716_01472
N0.HOG0001170	OG0001127	n0	KBS0714_01317	SA211_01038	AS2_01575	KD33716_01471
N0.HOG0001171	OG0001128	n0	KBS0714_01318	SA211_01039	AS2_01574	KD33716_01470
N0.HOG0001172	OG0001129	n0	KBS0714_01319	SA211_01040	AS2_01572	KD33716_01468
N0.HOG0001173	OG0001130	n0	KBS0714_01320	SA211_01041	AS2_01571	KD33716_01467
N0.HOG0001174	OG0001131	n0	KBS0714_01321	SA211_01042	AS2_01570	KD33716_01466
N0.HOG0001175	OG0001132	n0	KBS0714_01322	SA211_01043	AS2_01569	KD33716_01465
N0.HOG0001176	OG0001133	n0	KBS0714_01323	SA211_01044	AS2_01568	KD33716_01464
N0.HOG0001177	OG0001134	n0	KBS0714_01324	SA211_01045	AS2_01567	KD33716_01463
N0.HOG0001178	OG0001135	n0	KBS0714_01325	SA211_01046	AS2_01566	KD33716_01462
N0.HOG0001179	OG0001136	n0	KBS0714_01326	SA211_01047	AS2_01565	KD33716_01461
N0.HOG0001180	OG0001137	n0	KBS0714_01327	SA211_01048	AS2_01564	KD33716_01460
N0.HOG0001181	OG0001138	n0	KBS0714_01328	SA211_01049	AS2_01563	KD33716_01459
N0.HOG0001182	OG0001139	n0	KBS0714_01329	SA211_01050	AS2_01562	KD33716_01458
N0.HOG0001183	OG0001140	n0	KBS0714_01330	SA211_01051	AS2_01561	KD33716_01457
N0.HOG0001184	OG0001141	n0	KBS0714_01331	SA211_01052	AS2_01560	KD33716_01456
N0.HOG0001185	OG0001142	n0	KBS0714_01332	SA211_01053	AS2_01559	KD33716_01455
N0.HOG0001186	OG0001143	n0	KBS0714_01333	SA211_01054	AS2_01558	KD33716_01454
N0.HOG0001187	OG0001144	n0	KBS0714_01335	SA211_01056	AS2_01556	KD33716_01452
N0.HOG0001188	OG0001145	n0	KBS0714_01336	SA211_01057	AS2_01555	KD33716_01451
N0.HOG0001189	OG0001146	n0	KBS0714_01338	SA211_01058	AS2_01554	KD33716_01450
N0.HOG0001190	OG0001147	n0	KBS0714_01339	SA211_01059	AS2_01553	KD33716_01449
N0.HOG0001191	OG0001148	n0	KBS0714_01340	SA211_01060	AS2_01552	KD33716_01448
N0.HOG0001192	OG0001149	n0	KBS0714_01342	SA211_01062	AS2_01550	KD33716_01446
N0.HOG0001193	OG0001150	n0	KBS0714_01343	SA211_01063	AS2_01549	KD33716_01445
N0.HOG0001194	OG0001151	n0	KBS0714_01344	SA211_01064	AS2_01548	KD33716_01444
N0.HOG0001195	OG0001152	n0	KBS0714_01345	SA211_01065	AS2_01547	KD33716_01443
N0.HOG0001196	OG0001153	n0	KBS0714_01346	SA211_01066	AS2_01546	KD33716_01442
N0.HOG0001197	OG0001154	n0	KBS0714_01347	SA211_01067	AS2_01545	KD33716_01441
N0.HOG0001198	OG0001155	n0	KBS0714_01348	SA211_01068	AS2_01544	KD33716_01440
N0.HOG0001199	OG0001156	n0	KBS0714_01349	SA211_01069	AS2_01543	KD33716_01439
N0.HOG0001200	OG0001157	n0	KBS0714_01350	SA211_01070	AS2_01542	KD33716_01438
N0.HOG0001201	OG0001158	n0	KBS0714_01351	SA211_01071	AS2_01541	KD33716_01437
N0.HOG0001202	OG0001159	n0	KBS0714_01352	SA211_01072	AS2_01540	KD33716_01436
N0.HOG0001203	OG0001160	n0	KBS0714_01353	SA211_01073	AS2_01539	KD33716_01435
N0.HOG0001204	OG0001161	n0	KBS0714_01354	SA211_01074	AS2_01538	KD33716_01434
N0.HOG0001205	OG0001162	n0	KBS0714_01355	SA211_01075	AS2_01537	KD33716_01433
N0.HOG0001206	OG0001163	n0	KBS0714_01356	SA211_01076	AS2_01536	KD33716_01432
N0.HOG0001207	OG0001164	n0	KBS0714_01358	SA211_01078	AS2_01535	KD33716_01430
N0.HOG0001208	OG0001165	n0	KBS0714_01359	SA211_01079	AS2_01534	KD33716_01429
N0.HOG0001209	OG0001166	n0	KBS0714_01360	SA211_01080	AS2_01533	KD33716_01428
N0.HOG0001210	OG0001167	n0	KBS0714_01361	SA211_01081	AS2_01532	KD33716_01427
N0.HOG0001211	OG0001168	n0	KBS0714_01362	SA211_01082	AS2_01531	KD33716_01426
N0.HOG0001212	OG0001169	n0	KBS0714_01363	SA211_01083	AS2_01530	KD33716_01425
N0.HOG0001213	OG0001170	n0	KBS0714_01364	SA211_01084	AS2_01529	KD33716_01424
N0.HOG0001214	OG0001171	n0	KBS0714_01365	SA211_01085	AS2_01528	KD33716_01423
N0.HOG0001215	OG0001172	n0	KBS0714_01366	SA211_01086	AS2_01527	KD33716_01422
N0.HOG0001216	OG0001173	n0	KBS0714_01367	SA211_01087	AS2_01526	KD33716_01421
N0.HOG0001217	OG0001174	n0	KBS0714_01368	SA211_01088	AS2_01525	KD33716_01420
N0.HOG0001218	OG0001175	n0	KBS0714_01370	SA211_01090	AS2_01522	KD33716_01418
N0.HOG0001219	OG0001176	n0	KBS0714_01371	SA211_01091	AS2_01521	KD33716_01417
N0.HOG0001220	OG0001177	n0	KBS0714_01372	SA211_01092	AS2_01520	KD33716_01416
N0.HOG0001221	OG0001178	n0	KBS0714_01374	SA211_01094	AS2_01518	KD33716_01413
N0.HOG0001222	OG0001179	n0	KBS0714_01375	SA211_01095	AS2_01517	KD33716_01412
N0.HOG0001223	OG0001180	n0	KBS0714_01376	SA211_01096	AS2_01516	KD33716_01411
N0.HOG0001224	OG0001181	n0	KBS0714_01377	SA211_01097	AS2_01515	KD33716_01410
N0.HOG0001225	OG0001182	n0	KBS0714_01378	SA211_01098	AS2_01514	KD33716_01409
N0.HOG0001226	OG0001183	n0	KBS0714_01379	SA211_01099	AS2_01513	KD33716_01408
N0.HOG0001227	OG0001184	n0	KBS0714_01380	SA211_01100	AS2_01512	KD33716_01407
N0.HOG0001228	OG0001185	n0	KBS0714_01381	SA211_01101	AS2_01511	KD33716_01406
N0.HOG0001229	OG0001186	n0	KBS0714_01403	SA211_01133	AS2_01492	KD33716_01404
N0.HOG0001230	OG0001187	n0	KBS0714_01404	SA211_01134	AS2_01491	KD33716_01403
N0.HOG0001231	OG0001188	n0	KBS0714_01406	SA211_01136	AS2_01490	KD33716_01401
N0.HOG0001232	OG0001189	n0	KBS0714_01407	SA211_01137	AS2_01489	KD33716_01400
N0.HOG0001233	OG0001190	n0	KBS0714_01412	SA211_01143	AS2_01487	KD33716_01394
N0.HOG0001234	OG0001191	n0	KBS0714_01413	SA211_01144	AS2_01486	KD33716_01393
N0.HOG0001235	OG0001192	n0	KBS0714_01414	SA211_01145	AS2_01485	KD33716_01392
N0.HOG0001236	OG0001193	n0	KBS0714_01415	SA211_01146	AS2_01484	KD33716_01391
N0.HOG0001237	OG0001194	n0	KBS0714_01416	SA211_01147	AS2_01483	KD33716_01390
N0.HOG0001238	OG0001195	n0	KBS0714_01418	SA211_01149	AS2_01481	KD33716_01389
N0.HOG0001239	OG0001196	n0	KBS0714_01419	SA211_01150	AS2_01480	KD33716_01388
N0.HOG0001240	OG0001197	n0	KBS0714_01420	SA211_01151	AS2_01479	KD33716_01387
N0.HOG0001241	OG0001198	n0	KBS0714_01421	SA211_01152	AS2_01478	KD33716_01386
N0.HOG0001242	OG0001199	n0	KBS0714_01422	SA211_01153	AS2_01477	KD33716_01385
N0.HOG0001243	OG0001200	n0	KBS0714_01423	SA211_01154	AS2_01476	KD33716_01384
N0.HOG0001244	OG0001201	n0	KBS0714_01424	SA211_01155	AS2_01475	KD33716_01383
N0.HOG0001245	OG0001202	n0	KBS0714_01428	SA211_01159	AS2_01471	KD33716_01378
N0.HOG0001246	OG0001203	n0	KBS0714_01429	SA211_01161	AS2_01470	KD33716_01377
N0.HOG0001247	OG0001204	n0	KBS0714_01430	SA211_01162	AS2_01469	KD33716_01376
N0.HOG0001248	OG0001205	n0	KBS0714_01431	SA211_01163	AS2_01468	KD33716_01375
N0.HOG0001249	OG0001206	n0	KBS0714_01432	SA211_01164	AS2_01467	KD33716_01374
N0.HOG0001250	OG0001207	n0	KBS0714_01433	SA211_01165	AS2_01465	KD33716_01373
N0.HOG0001251	OG0001208	n0	KBS0714_01434	SA211_01166	AS2_01464	KD33716_01372
N0.HOG0001252	OG0001209	n0	KBS0714_01435	SA211_01167	AS2_01463	KD33716_01371
N0.HOG0001253	OG0001210	n0	KBS0714_01436	SA211_01168	AS2_01462	KD33716_01370
N0.HOG0001254	OG0001211	n0	KBS0714_01437	SA211_01169	AS2_01461	KD33716_01369
N0.HOG0001255	OG0001212	n0	KBS0714_01438	SA211_01170	AS2_01460	KD33716_01368
N0.HOG0001256	OG0001213	n0	KBS0714_01439	SA211_01171	AS2_01459	KD33716_01367
N0.HOG0001257	OG0001214	n0	KBS0714_01441	SA211_01173	AS2_01457	KD33716_01365
N0.HOG0001258	OG0001215	n0	KBS0714_01442	SA211_01174	AS2_01456	KD33716_01364
N0.HOG0001259	OG0001216	n0	KBS0714_01443	SA211_01175	AS2_01455	KD33716_01363
N0.HOG0001260	OG0001217	n0	KBS0714_01444	SA211_01176	AS2_01454	KD33716_01362
N0.HOG0001261	OG0001218	n0	KBS0714_01446	SA211_01178	AS2_01453	KD33716_01357
N0.HOG0001262	OG0001219	n0	KBS0714_01447	SA211_01179	AS2_01452	KD33716_01356
N0.HOG0001263	OG0001220	n0	KBS0714_01448	SA211_01180	AS2_01451	KD33716_01355
N0.HOG0001264	OG0001221	n0	KBS0714_01449	SA211_01181	AS2_01450	KD33716_01354
N0.HOG0001265	OG0001222	n0	KBS0714_01451	SA211_01183	AS2_01448	KD33716_01352
N0.HOG0001266	OG0001223	n0	KBS0714_01454	SA211_01186	AS2_01446	KD33716_01349
N0.HOG0001267	OG0001224	n0	KBS0714_01455	SA211_01187	AS2_01445	KD33716_01348
N0.HOG0001268	OG0001225	n0	KBS0714_01456	SA211_01188	AS2_01444	KD33716_01347
N0.HOG0001269	OG0001226	n0	KBS0714_01457	SA211_01189	AS2_01443	KD33716_01346
N0.HOG0001270	OG0001227	n0	KBS0714_01458	SA211_01190	AS2_01442	KD33716_01345
N0.HOG0001271	OG0001228	n0	KBS0714_01459	SA211_01191	AS2_01441	KD33716_01344
N0.HOG0001272	OG0001229	n0	KBS0714_01460	SA211_01192	AS2_01440	KD33716_01343
N0.HOG0001273	OG0001230	n0	KBS0714_01461	SA211_01193	AS2_01439	KD33716_01342
N0.HOG0001274	OG0001231	n0	KBS0714_01462	SA211_01194	AS2_01438	KD33716_01341
N0.HOG0001275	OG0001232	n0	KBS0714_01463	SA211_01195	AS2_01437	KD33716_01340
N0.HOG0001276	OG0001233	n0	KBS0714_01464	SA211_01196	AS2_01436	KD33716_01339
N0.HOG0001277	OG0001234	n0	KBS0714_01465	SA211_01197	AS2_01435	KD33716_01338
N0.HOG0001278	OG0001235	n0	KBS0714_01466	SA211_01198	AS2_01434	KD33716_01337
N0.HOG0001279	OG0001236	n0	KBS0714_01467	SA211_01199	AS2_01433	KD33716_01335
N0.HOG0001280	OG0001237	n0	KBS0714_01468	SA211_01200	AS2_01432	KD33716_01334
N0.HOG0001281	OG0001238	n0	KBS0714_01469	SA211_01201	AS2_01431	KD33716_01333
N0.HOG0001282	OG0001239	n0	KBS0714_01472	SA211_01204	AS2_01428	KD33716_01330
N0.HOG0001283	OG0001240	n0	KBS0714_01473	SA211_01205	AS2_01427	KD33716_01329
N0.HOG0001284	OG0001241	n0	KBS0714_01474	SA211_01206	AS2_01426	KD33716_01328
N0.HOG0001285	OG0001242	n0	KBS0714_01475	SA211_01207	AS2_01425	KD33716_01327
N0.HOG0001286	OG0001243	n0	KBS0714_01478	SA211_01210	AS2_01424	KD33716_01324
N0.HOG0001287	OG0001244	n0	KBS0714_01479	SA211_01211	AS2_01423	KD33716_01323
N0.HOG0001288	OG0001245	n0	KBS0714_01480	SA211_01212	AS2_01422	KD33716_01322
N0.HOG0001289	OG0001246	n0	KBS0714_01481	SA211_01213	AS2_01421	KD33716_01321
N0.HOG0001290	OG0001247	n0	KBS0714_01483	SA211_01215	AS2_01419	KD33716_01319
N0.HOG0001291	OG0001248	n0	KBS0714_01484	SA211_01216	AS2_01418	KD33716_01318
N0.HOG0001292	OG0001249	n0	KBS0714_01485	SA211_01217	AS2_01417	KD33716_01317
N0.HOG0001293	OG0001250	n0	KBS0714_01486	SA211_01218	AS2_01416	KD33716_01316
N0.HOG0001294	OG0001251	n0	KBS0714_01487	SA211_01219	AS2_01415	KD33716_01314
N0.HOG0001295	OG0001252	n0	KBS0714_01512	SA211_01221	AS2_01413	KD33716_01312
N0.HOG0001296	OG0001253	n0	KBS0714_01513	SA211_01222	AS2_01412	KD33716_01311
N0.HOG0001297	OG0001254	n0	KBS0714_01515	SA211_01224	AS2_01410	KD33716_01309
N0.HOG0001298	OG0001255	n0	KBS0714_01516	SA211_01225	AS2_01409	KD33716_01308
N0.HOG0001299	OG0001256	n0	KBS0714_01517	SA211_01226	AS2_01408	KD33716_01307
N0.HOG0001300	OG0001257	n0	KBS0714_01518	SA211_01227	AS2_01407	KD33716_01306
N0.HOG0001301	OG0001258	n0	KBS0714_01519	SA211_01228	AS2_01406	KD33716_01305
N0.HOG0001302	OG0001259	n0	KBS0714_01520	SA211_01229	AS2_01405	KD33716_01304
N0.HOG0001303	OG0001260	n0	KBS0714_01521	SA211_01230	AS2_01404	KD33716_01303
N0.HOG0001304	OG0001261	n0	KBS0714_01522	SA211_01231	AS2_01403	KD33716_01302
N0.HOG0001305	OG0001262	n0	KBS0714_01523	SA211_01232	AS2_01402	KD33716_01301
N0.HOG0001306	OG0001263	n0	KBS0714_01524	SA211_01233	AS2_01401	KD33716_01300
N0.HOG0001307	OG0001264	n0	KBS0714_01525	SA211_01234	AS2_01400	KD33716_01299
N0.HOG0001308	OG0001265	n0	KBS0714_01526	SA211_01235	AS2_01399	KD33716_00047
N0.HOG0001309	OG0001266	n0	KBS0714_01527	SA211_01237	AS2_01398	KD33716_01289
N0.HOG0001310	OG0001267	n0	KBS0714_01528	SA211_01238	AS2_01397	KD33716_01288
N0.HOG0001311	OG0001268	n0	KBS0714_01529	SA211_01239	AS2_01396	KD33716_01287
N0.HOG0001312	OG0001269	n0	KBS0714_01530	SA211_01240	AS2_01395	KD33716_01286
N0.HOG0001313	OG0001270	n0	KBS0714_01531	SA211_01241	AS2_01394	KD33716_01285
N0.HOG0001314	OG0001271	n0	KBS0714_01532	SA211_01242	AS2_01393	KD33716_01284
N0.HOG0001315	OG0001272	n0	KBS0714_01533	SA211_01243	AS2_01392	KD33716_01283
N0.HOG0001316	OG0001273	n0	KBS0714_01534	SA211_01244	AS2_01391	KD33716_01282
N0.HOG0001317	OG0001274	n0	KBS0714_01535	SA211_01245	AS2_01390	KD33716_01281
N0.HOG0001318	OG0001275	n0	KBS0714_01536	SA211_01246	AS2_01389	KD33716_01280
N0.HOG0001319	OG0001276	n0	KBS0714_01537	SA211_01247	AS2_01388	KD33716_01279
N0.HOG0001320	OG0001277	n0	KBS0714_01538	SA211_01248	AS2_01387	KD33716_01278
N0.HOG0001321	OG0001278	n0	KBS0714_01540	SA211_01250	AS2_01385	KD33716_01276
N0.HOG0001322	OG0001279	n0	KBS0714_01541	SA211_01251	AS2_01384	KD33716_01275
N0.HOG0001323	OG0001280	n0	KBS0714_01542	SA211_01252	AS2_01383	KD33716_01274
N0.HOG0001324	OG0001281	n0	KBS0714_01543	SA211_01253	AS2_01382	KD33716_01273
N0.HOG0001325	OG0001282	n0	KBS0714_01545	SA211_01255	AS2_01380	KD33716_01271
N0.HOG0001326	OG0001283	n0	KBS0714_01546	SA211_01256	AS2_01379	KD33716_01270
N0.HOG0001327	OG0001284	n0	KBS0714_01547	SA211_01257	AS2_01378	KD33716_01269
N0.HOG0001328	OG0001285	n0	KBS0714_01548	SA211_01258	AS2_01377	KD33716_01268
N0.HOG0001329	OG0001286	n0	KBS0714_01550	SA211_01260	AS2_01375	KD33716_01266
N0.HOG0001330	OG0001287	n0	KBS0714_01551	SA211_01261	AS2_01374	KD33716_01265
N0.HOG0001331	OG0001288	n0	KBS0714_01552	SA211_01262	AS2_01373	KD33716_01264
N0.HOG0001332	OG0001289	n0	KBS0714_01553	SA211_01263	AS2_01372	KD33716_01263
N0.HOG0001333	OG0001290	n0	KBS0714_01554	SA211_01264	AS2_01371	KD33716_01262
N0.HOG0001334	OG0001291	n0	KBS0714_01555	SA211_01265	AS2_01370	KD33716_01261
N0.HOG0001335	OG0001292	n0	KBS0714_01556	SA211_01266	AS2_01369	KD33716_01260
N0.HOG0001336	OG0001293	n0	KBS0714_01557	SA211_01267	AS2_01368	KD33716_01259
N0.HOG0001337	OG0001294	n0	KBS0714_01558	SA211_01268	AS2_01367	KD33716_01258
N0.HOG0001338	OG0001295	n0	KBS0714_01560	SA211_01270	AS2_01366	KD33716_01257
N0.HOG0001339	OG0001296	n0	KBS0714_01561	SA211_01271	AS2_01365	KD33716_01256
N0.HOG0001340	OG0001297	n0	KBS0714_01562	SA211_01272	AS2_01364	KD33716_01255
N0.HOG0001341	OG0001298	n0	KBS0714_01564	SA211_01274	AS2_01362	KD33716_01253
N0.HOG0001342	OG0001299	n0	KBS0714_01565	SA211_01275	AS2_01361	KD33716_01252
N0.HOG0001343	OG0001300	n0	KBS0714_01566	SA211_01276	AS2_01360	KD33716_01251
N0.HOG0001344	OG0001301	n0	KBS0714_01567	SA211_01277	AS2_01359	KD33716_01250
N0.HOG0001345	OG0001302	n0	KBS0714_01568	SA211_01278	AS2_01358	KD33716_01249
N0.HOG0001346	OG0001303	n0	KBS0714_01570	SA211_01280	AS2_01354	KD33716_01247
N0.HOG0001347	OG0001304	n0	KBS0714_01571	SA211_01281	AS2_01353	KD33716_01246
N0.HOG0001348	OG0001305	n0	KBS0714_01572	SA211_01282	AS2_01352	KD33716_01245
N0.HOG0001349	OG0001306	n0	KBS0714_01573	SA211_01283	AS2_01351	KD33716_01244
