gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
MTPN	33	52	39	157	225	361	27	233	297	241	586	460	591	41	2	0	36	70	247	208	280	351	410	588	0	6	16	6	21	152	39	48	93	458
MXI1	3	13	3	25	51	52	1	132	105	89	210	201	209	22	57	69	247	941	34	19	25	34	25	42	1	5	11	3	14	47	1	0	0	3
MYADM	12	17	5	20	81	290	4	640	718	696	539	620	814	21	2	0	1	4	516	401	324	438	386	425	6	25	48	34	58	235	0	1	0	4
MYCBP2	22	53	44	187	247	281	36	483	478	392	1371	742	718	104	1	0	0	5	164	146	137	278	255	153	1	2	8	7	11	30	4	0	12	7
MYH7B	4	12	9	52	43	35	9	201	190	124	566	362	184	48	0	0	2	3	111	97	52	118	153	56	2	1	10	1	23	58	1	0	2	0
MYH9	10	19	24	77	91	129	18	469	466	328	1351	1027	729	124	0	0	2	19	240	156	180	292	375	282	6	4	36	17	78	300	18	31	80	199
MYL12A	22	53	38	264	171	358	48	1366	1546	1139	4533	2256	2907	474	1	6	11	160	414	302	337	715	515	721	0	6	23	24	29	599	128	141	399	1278
MYL12B	14	35	30	147	144	259	26	861	882	706	2261	1766	1869	242	2	6	14	98	323	252	311	499	471	678	2	5	33	22	38	320	5	9	33	157
MYL6	21	60	56	203	238	480	59	1232	1378	928	3170	2589	3047	371	84	77	378	926	835	739	801	1257	1552	2142	16	29	107	41	76	1075	115	191	555	1865
MYO5A	14	27	34	79	151	141	19	426	422	329	942	730	433	99	1	1	1	4	222	155	179	329	342	168	3	4	17	10	25	70	0	0	1	7
MYO9B	5	8	12	26	70	54	10	128	137	93	291	220	162	35	0	0	0	1	147	133	108	224	258	189	2	4	17	2	23	100	0	1	0	5
N4BP2L2	30	53	56	252	301	436	48	972	852	693	2777	1399	1424	195	0	1	14	42	248	163	194	390	349	316	4	4	23	21	25	126	0	1	2	6
NAA60	6	5	13	34	40	46	6	137	125	87	427	234	150	39	0	0	3	4	55	40	51	74	96	61	3	0	4	3	6	20	1	0	2	7
NABP1	67	74	93	606	506	435	165	1397	1266	878	4336	2339	1488	476	7	1	5	21	551	421	377	887	907	371	112	59	401	83	444	994	0	5	2	20
NACA	106	195	273	1021	1234	1799	194	3895	3695	2879	11008	6084	7799	1031	13	23	100	373	1399	1170	1409	2342	1691	2370	2	6	15	6	22	131	2	3	11	45
NAMPT	20	11	25	64	134	225	6	717	547	433	669	989	1084	47	63	58	78	198	2962	2664	1915	2779	6623	4155	760	767	3818	1453	6339	21755	2	40	1	217
NAP1L1	37	69	101	256	283	518	32	978	925	700	2320	1489	1787	164	0	0	1	42	282	359	571	587	563	874	0	0	6	2	3	53	83	75	234	1181
NAPA	1	6	2	14	12	19	3	56	69	35	155	115	113	7	7	9	43	67	60	48	36	85	91	58	2	1	12	5	17	25	2	2	9	21
NAPG	3	7	4	11	35	24	2	54	63	38	146	156	175	10	0	0	0	67	51	40	45	92	81	95	0	0	3	2	4	10	1	1	2	96
NARF	3	2	3	20	34	38	7	103	106	82	288	191	181	27	5	3	42	136	35	22	22	51	34	28	1	2	10	1	12	85	0	1	0	1
NASP	11	26	21	74	79	68	9	283	428	281	846	815	628	85	0	0	1	8	73	44	68	131	122	87	0	1	7	8	7	27	1	1	0	5
NBPF10	51	45	66	87	232	326	24	208	145	121	273	140	202	15	0	0	0	2	323	330	374	511	335	343	2	2	24	11	23	87	0	0	0	29
NBPF14	11	14	27	56	115	109	6	84	80	55	192	72	87	14	0	0	0	2	115	112	95	314	297	60	1	2	7	4	10	39	0	0	1	13
NBPF19	6	25	21	38	78	88	10	216	225	145	645	257	199	40	0	0	0	1	214	172	117	417	426	165	1	1	4	2	31	50	1	0	0	2
NBR1	7	11	8	49	59	34	13	227	172	140	524	280	199	45	2	0	11	21	67	41	38	122	116	47	2	3	11	7	20	44	0	0	4	10
NCBP3	6	16	16	59	68	69	16	248	235	154	599	434	289	49	0	0	0	5	104	66	73	140	164	99	0	1	13	5	20	49	1	1	3	4
NCOA1	1	7	4	11	21	48	0	144	135	94	253	180	155	16	0	2	1	14	90	44	49	81	90	94	1	4	21	4	21	107	2	0	9	18
NCOA3	14	19	35	98	138	171	21	98	106	92	319	146	203	26	0	0	0	4	71	56	49	115	101	103	0	0	2	1	4	24	0	1	5	24
NCOA4	4	5	5	15	42	17	2	58	53	31	167	129	112	14	62	97	396	1593	152	113	91	181	247	150	3	6	23	8	30	65	37	110	183	154
NCOR1	11	19	18	69	77	129	16	172	223	145	617	499	332	49	1	1	5	23	115	81	67	156	179	159	0	1	12	5	14	60	3	4	17	48
NDUFA1	10	26	20	93	120	167	22	520	464	398	1178	989	1103	143	4	1	24	122	229	217	214	352	337	413	2	1	9	11	13	132	4	4	19	50
NDUFA13	10	10	10	93	89	193	30	322	365	289	1098	784	1138	180	0	1	28	47	258	202	217	366	361	546	0	1	3	0	3	22	3	0	5	38
NDUFA2	8	12	13	36	47	81	19	210	189	154	547	381	596	78	0	5	32	124	100	96	88	140	140	197	0	1	6	4	11	86	0	1	1	19
NDUFA4	14	31	34	127	169	272	40	675	674	542	1841	1280	1743	218	2	1	24	115	275	218	278	447	405	615	0	0	0	1	2	13	6	11	46	183
NDUFA5	7	11	15	40	54	96	11	179	183	126	513	332	362	49	0	0	15	43	27	25	38	79	57	83	0	1	2	1	4	17	2	6	25	60
NDUFB1	6	17	8	66	54	53	14	229	231	163	854	444	374	77	1	0	15	23	147	116	100	298	254	121	1	1	13	2	6	67	0	2	7	4
NDUFB11	12	19	18	77	97	142	20	322	297	254	949	720	894	138	1	1	12	24	133	136	119	222	249	228	0	2	2	1	4	24	0	0	2	18
NDUFB4	9	14	12	60	60	83	11	291	288	235	869	568	723	91	1	1	11	43	110	96	116	190	152	239	0	0	3	1	1	22	2	2	20	102
NDUFB9	8	9	14	69	69	105	16	296	259	214	799	612	656	87	0	0	2	18	123	98	101	165	214	186	1	0	5	0	7	30	2	2	3	52
NDUFC1	3	5	8	34	24	50	11	193	154	141	569	360	393	59	1	2	21	27	65	41	80	118	107	97	1	1	3	1	1	9	1	3	9	25
NDUFS2	3	5	14	39	50	45	6	140	126	108	395	304	252	37	2	0	1	24	66	38	46	115	86	108	2	2	3	4	9	20	0	1	4	3
NEDD8	7	22	18	73	56	86	11	300	308	212	799	524	580	84	2	0	15	32	160	99	117	213	211	243	0	3	10	5	5	72	1	0	6	24
NFAT5	1	6	7	18	38	35	5	87	105	62	197	136	93	20	0	0	3	22	68	47	45	76	111	136	1	2	11	5	20	72	1	0	4	9
NFE2L2	2	4	11	30	31	45	2	154	210	98	334	155	258	23	1	1	2	12	124	103	101	130	164	162	4	7	26	13	28	184	1	1	3	22
NFKB2	11	18	10	55	115	87	20	216	165	113	210	209	218	24	0	2	1	3	62	68	65	74	107	52	10	10	40	5	47	153	0	1	0	0
NFKBIA	22	35	54	288	351	669	34	2483	3199	1929	1932	1255	3401	114	9	0	3	82	1116	957	1032	942	1225	1498	108	177	660	98	650	6675	3	5	0	40
NFKBIB	5	5	4	26	41	39	6	98	116	78	158	171	146	17	0	0	4	5	31	33	23	52	59	41	1	1	4	4	11	27	0	0	2	3
NFKBIZ	8	3	7	29	48	31	5	459	518	327	589	451	502	99	2	1	3	24	251	237	347	290	461	511	51	61	234	31	232	1544	0	4	0	4
NIN	11	16	11	68	103	106	5	157	234	99	460	259	227	36	0	0	0	3	96	78	80	152	178	103	4	5	15	17	24	110	0	4	1	14
NIPBL	12	22	25	62	84	113	3	289	303	203	634	452	397	47	0	3	14	42	131	99	80	203	222	126	2	3	17	9	15	86	0	0	0	6
NKTR	12	19	30	100	171	169	18	587	479	351	1249	910	768	84	0	0	0	6	200	129	132	194	214	237	0	3	9	1	9	31	3	0	1	5
NMI	5	4	5	22	43	23	4	75	58	61	297	214	179	28	1	1	0	12	37	33	27	87	74	78	4	3	19	20	8	69	0	0	0	10
NMNAT3	121	254	214	761	855	998	107	2832	2991	1948	6282	3701	2927	388	1	0	20	97	489	436	381	723	652	543	6	2	17	12	55	100	0	2	5	13
NNT	9	17	18	106	122	97	17	400	417	232	989	510	411	65	0	1	2	5	100	95	77	204	200	82	0	0	4	1	15	30	3	1	5	12
NONO	8	17	15	65	95	124	11	247	262	175	547	531	487	46	0	0	0	7	122	85	89	159	151	138	0	2	6	2	4	24	1	0	0	15
NOP10	4	9	6	56	35	59	14	171	113	102	510	305	423	39	0	0	8	40	162	160	141	241	218	427	2	4	45	21	45	556	1	1	6	32
NOTCH2NLC	14	17	35	80	103	88	16	193	186	127	534	170	165	31	0	0	0	6	268	216	266	318	336	240	0	2	27	7	69	207	1	0	5	15
NPC2	8	9	9	48	65	81	6	104	77	94	236	167	144	8	0	0	1	3	390	374	413	547	650	512	1	4	5	6	13	42	1	4	5	8
NPEPPS	18	17	16	89	133	119	15	337	320	219	916	538	396	95	0	0	2	7	169	129	107	258	228	139	2	5	22	9	44	103	1	1	3	6
NR1H2	3	8	14	22	34	73	1	117	97	73	209	135	172	18	0	1	3	30	49	33	51	75	60	105	1	1	2	2	2	21	1	3	6	19
NR4A2	8	22	9	18	68	133	3	657	571	479	608	603	525	14	0	0	0	2	84	87	71	121	53	68	4	4	14	2	6	65	0	1	0	0
NRDC	3	10	6	33	30	47	4	108	111	78	300	204	256	27	0	2	13	35	45	42	41	87	100	108	0	2	14	2	11	79	2	4	17	86
NSD1	8	11	9	74	89	65	19	209	215	146	621	320	327	52	0	0	5	11	58	50	60	131	132	112	3	1	6	3	10	45	1	1	4	8
NSD3	16	50	24	102	170	145	15	369	335	306	916	638	711	82	1	2	14	37	94	86	57	128	122	100	1	1	12	8	10	45	1	1	0	7
NT5C3A	3	9	5	52	30	40	9	83	112	92	243	146	211	22	2	1	6	49	20	22	30	45	46	38	1	0	2	3	6	41	26	20	72	360
NUDC	5	8	7	41	33	61	7	148	170	124	519	261	319	49	1	0	1	18	45	36	45	90	68	74	1	0	4	2	3	7	1	1	2	6
NUDT3	17	19	24	83	73	71	17	284	286	175	694	375	321	57	0	0	1	3	169	179	151	262	286	125	1	0	9	3	21	56	0	0	7	5
NUFIP2	6	10	14	35	46	58	3	218	266	155	489	284	332	30	0	0	3	3	130	104	82	157	166	174	2	2	21	14	16	78	0	0	3	3
NUMB	6	10	16	42	56	46	6	101	106	58	301	147	105	15	1	0	1	2	159	120	103	231	268	139	2	4	39	18	42	213	0	4	5	10
OAZ1	37	92	79	372	328	563	85	790	968	703	2338	1583	1839	293	198	264	864	3435	1348	960	1132	1887	2091	2336	11	20	123	39	84	858	233	244	749	3549
OAZ2	10	13	9	70	84	60	16	222	213	109	722	421	245	74	7	3	43	91	135	108	104	200	206	121	4	7	36	18	44	147	0	0	0	7
OCIAD1	5	10	13	58	44	64	9	186	168	111	559	319	277	52	3	4	6	22	53	49	54	122	74	103	0	0	1	4	5	24	1	2	6	10
ODC1	10	23	12	61	83	141	17	95	136	112	243	302	311	37	16	21	56	57	22	26	30	30	38	32	0	0	0	0	0	1	68	67	122	215
OGA	13	27	26	93	127	156	13	338	337	243	674	485	471	42	1	0	11	58	57	60	63	104	120	99	2	1	25	10	20	106	0	0	0	5
OGDH	3	2	4	20	33	23	11	98	79	72	322	171	127	34	1	2	6	7	32	36	35	91	75	47	1	3	5	5	11	24	0	2	2	2
OPHN1	34	46	41	121	179	200	14	617	594	424	1125	670	575	65	0	0	4	28	117	96	91	148	140	127	3	5	9	2	14	18	0	2	2	8
OR11G2	2	8	4	49	27	24	5	71	122	66	476	145	93	33	1	1	0	0	29	56	33	108	94	49	1	6	20	6	32	47	0	1	0	0
ORAI1	6	15	10	52	53	34	8	134	155	97	515	273	193	63	0	0	0	2	44	34	27	83	82	39	0	1	2	1	8	34	3	8	16	56
ORAI2	19	21	26	90	132	103	22	90	108	98	360	193	154	34	0	0	1	2	124	59	83	123	131	86	6	9	21	5	43	94	3	8	11	32
ORC4	92	135	146	380	515	561	54	1880	1675	1299	3197	2003	1708	159	0	0	9	47	416	328	301	477	406	378	8	1	27	9	51	112	0	0	0	5
OSBPL8	8	22	15	54	77	82	8	287	288	205	682	483	498	53	0	0	2	12	151	141	137	281	257	296	3	3	21	19	40	315	1	0	8	31
OSER1	5	18	10	32	39	61	8	149	132	105	201	271	274	7	2	3	10	41	63	58	52	38	53	100	2	7	18	7	18	92	0	0	4	13
OST4	19	35	42	167	216	305	37	863	844	730	2458	1422	1720	261	13	33	130	340	250	205	274	439	561	404	1	4	11	3	12	90	96	137	362	1066
OSTF1	2	8	9	42	52	59	6	177	183	120	525	345	294	56	0	0	0	4	90	69	84	129	119	168	0	7	17	8	4	96	8	5	16	75
OTUB1	4	7	12	33	54	78	8	128	142	91	387	267	268	40	1	0	3	11	66	37	60	105	93	98	0	2	6	5	8	32	0	0	2	7
OTUD5	6	6	7	26	17	43	4	110	101	63	188	151	129	15	0	2	11	40	33	36	21	34	31	35	2	0	7	2	11	36	0	2	2	8
P2RX4	6	12	6	25	20	27	4	124	99	85	289	181	127	33	0	0	0	0	156	109	114	131	228	178	2	2	3	2	13	25	0	0	0	7
P2RX7	14	29	34	75	91	87	10	521	520	395	860	677	414	53	0	0	2	20	233	136	125	202	239	110	13	6	19	14	46	90	0	0	2	1
P4HB	4	15	10	48	59	67	14	238	362	277	670	527	649	118	0	1	5	6	225	140	134	229	293	234	1	0	10	9	19	82	0	0	9	52
PABPC1	71	141	110	418	535	806	82	2592	2240	1750	5189	3995	4231	575	6	13	48	300	1240	1145	1069	1828	1757	1159	12	5	34	14	53	157	8	5	30	47
PABPN1	4	20	19	40	124	126	15	226	157	161	461	378	429	35	0	0	2	5	109	90	130	194	171	208	0	0	3	1	7	21	2	0	7	23
PACS1	5	10	10	41	48	35	1	148	132	106	389	209	197	31	0	0	0	2	21	19	28	36	31	26	0	1	8	0	4	18	2	1	5	22
PAFAH1B1	31	56	45	253	368	322	72	864	838	610	2464	1663	1180	256	2	2	4	40	377	287	255	537	627	355	11	6	32	25	90	257	4	2	6	25
PAFAH1B2	3	6	11	29	49	78	4	84	85	46	213	152	119	23	0	0	6	17	61	46	45	126	109	86	1	2	12	9	17	89	0	0	0	6
PAIP2	13	24	19	77	125	145	14	431	442	358	949	653	813	71	7	4	58	189	163	144	148	201	243	270	1	5	12	7	20	94	10	10	25	116
PAK2	9	27	23	70	83	174	17	285	292	183	686	432	575	70	0	0	1	13	211	155	129	298	267	381	2	5	34	18	30	219	0	0	1	5
PANK2	1	3	4	21	13	18	7	95	94	80	259	155	148	31	1	1	3	0	42	24	27	59	67	70	2	2	8	5	16	47	1	1	9	17
PAPOLA	13	32	38	88	136	156	17	304	367	236	778	574	603	62	3	7	18	66	180	137	130	246	252	280	3	2	11	9	9	132	4	2	2	41
PARK7	15	23	22	124	121	194	46	489	541	354	1453	972	1062	213	0	0	6	26	232	176	185	329	285	353	2	2	10	3	16	37	7	18	68	220
PBRM1	3	11	7	41	40	55	13	165	129	100	423	211	180	49	0	2	3	8	71	45	48	130	117	63	1	4	12	4	14	17	2	2	3	10
PCBP1	16	33	19	96	93	132	19	370	318	224	1079	576	629	99	4	7	37	119	362	257	274	505	455	505	1	6	39	22	72	360	3	7	9	89
PCBP2	35	49	61	185	278	318	52	782	777	521	1567	1236	1297	141	5	7	60	141	403	333	279	523	518	403	2	7	27	10	19	111	3	8	9	34
PCGF5	3	13	16	27	73	72	4	181	144	121	325	282	374	29	30	22	60	119	48	50	46	96	88	117	0	3	2	1	5	13	6	10	11	43
PCM1	6	19	28	88	109	161	18	322	327	251	954	554	575	49	2	4	12	69	88	72	52	128	131	111	0	0	3	2	3	12	2	0	2	21
PCMTD1	5	13	11	52	42	55	2	119	145	92	369	148	153	15	19	8	25	105	33	27	25	66	55	33	0	1	1	4	2	29	8	2	12	59
PCSK7	43	72	76	219	324	321	41	1161	1130	643	2900	1720	1346	268	0	1	3	21	373	324	299	455	607	292	5	12	46	22	93	196	0	0	2	6
PCYT1A	6	19	10	43	50	36	16	168	164	100	491	287	140	44	0	0	0	1	78	59	65	123	150	56	2	1	10	5	14	28	0	0	3	10
PDAP1	6	6	5	44	33	64	12	138	164	114	383	285	325	43	1	1	5	9	53	20	42	56	69	72	0	1	1	1	6	11	1	1	9	29
PDCD10	5	7	7	39	37	39	6	78	109	60	374	214	209	22	10	16	21	205	50	30	32	67	85	78	0	0	5	3	0	23	13	1	35	110
PDCD4	7	29	15	114	134	167	34	597	551	458	1418	1064	834	101	0	0	0	11	65	57	68	102	80	84	3	4	17	5	17	61	0	0	10	27
PDE4DIP	5	8	14	60	58	46	22	171	149	109	669	314	189	53	0	0	0	3	73	70	57	154	171	77	2	1	6	5	7	18	0	0	2	9
PDIA3	28	51	54	164	269	326	37	1002	938	734	2121	1716	1671	261	1	0	2	17	542	355	352	600	779	598	2	4	44	11	48	145	1	0	10	55
PDIA5	9	7	16	24	51	21	6	173	142	118	305	224	121	37	0	0	0	4	45	41	34	69	67	30	0	2	7	4	14	19	0	1	2	1
PELI1	14	36	9	43	107	269	10	124	64	46	127	151	224	17	0	1	2	10	79	68	44	55	70	67	12	13	55	30	80	360	0	1	0	2
PET100	5	12	11	77	69	84	19	315	326	217	801	551	509	96	1	0	11	127	173	121	121	230	237	184	1	1	4	3	4	63	5	2	13	50
PFDN5	71	118	119	479	566	1007	111	1785	1718	1441	4763	2551	3877	490	12	18	53	155	931	792	852	1429	1326	1400	0	2	15	11	20	182	0	1	3	27
PFN1	19	39	42	219	263	380	56	1204	1500	891	3783	3419	3274	429	1	2	9	54	687	567	565	1090	1038	1397	5	8	28	8	45	318	15	17	87	518
PGAM1	2	6	5	22	27	35	4	129	138	107	395	369	394	55	0	0	0	4	218	136	146	267	315	299	0	1	7	5	5	42	1	1	11	22
PGK1	5	26	15	62	74	111	23	376	348	318	1007	700	793	128	0	0	6	4	351	217	268	427	520	560	1	4	26	4	20	130	4	3	25	43
PGLS	3	7	17	45	57	89	15	106	125	92	405	257	340	48	0	0	0	3	177	138	135	237	230	264	2	1	6	1	6	36	0	0	1	7
PHACTR1	9	33	34	72	173	126	13	108	108	64	213	141	121	20	2	1	6	10	380	206	228	323	421	320	8	19	59	46	204	585	0	1	0	5
PHF20	20	29	23	79	124	166	9	343	342	206	690	436	430	53	0	1	0	6	71	89	73	147	124	117	3	3	10	9	19	72	0	0	1	5
PHF20L1	6	10	16	24	51	46	5	196	166	137	396	278	223	23	0	0	2	20	98	66	84	151	156	74	2	3	26	6	31	122	4	3	10	50
PHF3	18	28	26	101	165	188	13	460	459	288	1120	716	678	76	1	0	12	19	138	112	83	182	210	152	2	2	11	11	10	74	0	1	1	9
PHIP	9	20	18	91	117	122	10	259	278	193	655	420	365	44	0	0	2	21	168	107	97	195	195	148	2	3	16	15	10	57	0	0	4	4
PHKB	9	22	17	76	83	106	14	175	178	129	409	241	184	36	0	0	0	8	65	72	55	134	103	71	1	1	8	0	5	13	5	4	19	40
PIAS1	6	11	5	39	49	60	3	153	173	122	336	261	243	26	0	0	0	6	115	72	63	157	143	101	3	1	11	13	15	60	0	0	4	3
PIGN	76	146	143	543	614	695	81	2010	1976	1384	4604	2818	2141	284	0	1	8	70	393	356	306	611	578	415	10	2	31	15	41	75	0	0	3	9
PIK3C3	6	9	7	30	43	25	3	155	120	96	373	208	157	25	1	0	1	8	100	78	73	91	152	97	8	11	42	10	40	183	0	0	2	8
PIM1	2	3	6	3	14	18	0	96	74	87	374	260	387	89	14	12	117	502	75	67	65	87	193	201	1	0	5	2	15	51	0	0	0	17
PIP4K2A	3	9	7	50	25	70	11	227	345	190	711	393	354	63	39	54	152	510	42	37	38	89	83	72	0	3	3	3	3	39	18	19	50	111
PITHD1	1	7	2	22	26	36	5	124	126	84	276	199	196	25	84	80	174	505	29	20	20	29	22	49	1	0	2	2	1	11	1	1	1	17
PJA2	6	14	13	58	105	125	10	198	166	156	432	295	368	50	0	0	1	14	95	109	99	184	209	173	2	5	23	16	23	154	2	3	3	28
PKN2	2	8	14	19	49	53	2	101	107	82	195	186	175	11	0	1	4	24	81	87	56	103	81	84	1	6	29	13	18	118	0	1	2	8
PLA2G10CP	9	30	14	77	112	85	10	328	285	225	548	416	271	42	0	0	0	7	94	86	81	127	161	87	1	3	14	7	24	53	0	1	0	0
PLAT	25	42	31	109	143	133	22	601	519	361	1165	795	481	83	0	0	5	10	196	156	128	229	246	119	10	2	37	13	51	93	0	3	0	1
PLEK	5	10	12	54	45	108	11	80	124	84	305	210	239	18	3	1	0	16	616	547	443	389	651	762	18	48	154	35	261	1541	15	20	105	480
PLEKHB2	12	34	30	126	127	107	21	417	376	250	945	666	432	97	1	1	7	18	222	183	168	322	343	231	3	1	27	11	48	131	1	1	6	13
PLP2	6	16	15	57	40	152	15	133	170	134	487	292	395	73	0	0	1	5	164	129	127	210	277	263	0	1	4	3	5	78	0	0	2	8
PMAIP1	18	22	23	38	190	411	11	413	646	326	423	603	1139	19	0	0	0	46	111	63	79	87	66	166	4	1	13	16	18	81	0	0	0	6
PNPLA2	1	11	4	20	35	34	4	78	97	61	162	131	110	14	7	7	31	81	52	35	41	66	67	44	2	0	2	0	4	13	0	0	2	5
PNPLA8	6	18	10	35	61	58	5	110	116	85	186	236	226	17	3	0	9	52	110	94	83	144	147	120	4	1	30	6	30	137	0	0	0	5
PNPT1	65	116	72	520	532	407	136	1617	1594	1117	5089	2763	1873	562	1	1	10	39	638	487	451	1018	1090	484	18	11	77	49	146	264	0	1	0	2
PNRC1	38	76	85	275	315	474	44	1616	1199	994	2458	1688	2216	225	11	10	97	368	410	363	329	423	477	448	18	40	233	61	227	1624	2	1	4	27
POC1B	10	21	21	64	73	59	12	377	389	265	688	471	362	56	2	0	30	78	101	69	84	113	161	74	0	5	8	3	15	51	0	1	4	7
POLR1D	8	17	13	68	81	126	4	266	268	212	788	661	678	51	23	20	75	408	122	97	115	210	217	188	0	0	5	1	3	19	2	0	5	23
POLR2E	4	8	11	36	32	33	6	119	121	103	269	238	247	32	1	1	1	11	85	63	77	87	124	92	0	1	2	3	1	13	2	4	13	41
POLR2J	5	9	12	40	32	48	5	178	167	126	381	287	307	41	0	1	12	26	78	65	69	102	103	154	1	0	6	2	5	40	0	1	4	15
POLR2J3-1	22	49	48	292	314	200	32	752	699	527	2598	1446	886	193	2	1	2	20	215	178	156	484	519	223	3	6	8	14	33	71	0	1	0	0
POMP	4	16	11	59	95	142	14	189	274	180	571	707	696	81	2	2	6	57	166	118	134	258	281	378	0	1	11	8	5	79	0	0	5	34
PPDPF	21	59	31	229	173	336	23	485	858	473	2328	1006	1324	214	1	7	40	43	113	166	119	394	205	292	0	0	0	1	0	9	25	52	71	154
PPHLN1	25	35	37	137	129	179	42	589	426	342	1300	916	800	135	0	0	5	22	152	65	96	170	179	121	6	1	10	11	21	67	0	1	1	1
PPIA	38	73	83	317	425	622	85	1167	1224	911	3104	2505	3103	356	0	2	5	17	411	361	378	678	608	730	1	0	3	2	7	21	7	6	23	147
PPIG	15	48	32	118	188	300	18	563	522	395	1298	976	857	110	0	1	1	18	172	102	129	229	225	222	0	5	26	12	22	107	1	0	1	8
PPM1A	6	5	2	18	19	32	3	73	87	52	166	174	140	15	10	16	72	211	48	27	33	58	67	54	2	3	8	3	19	56	4	1	24	54
PPP1CA	7	15	15	61	57	86	15	193	268	169	594	507	528	65	0	0	3	12	155	122	130	202	233	273	1	2	13	7	14	43	3	0	6	34
PPP1CB	5	15	4	42	73	78	11	363	312	274	754	549	545	57	10	27	79	176	235	129	161	263	263	254	5	4	23	7	16	162	4	1	3	28
PPP1R12A	6	22	17	56	75	88	9	250	271	229	753	527	460	40	0	0	3	28	111	66	84	158	165	111	2	2	16	9	22	126	2	0	9	53
PPP1R15A	46	64	64	134	232	619	12	1324	1378	941	988	1068	1610	46	4	1	33	128	426	311	337	419	412	494	20	53	119	22	138	1104	1	1	11	50
PPP1R2	16	24	32	75	105	203	16	401	266	238	1080	722	797	92	0	1	0	8	121	79	92	174	170	190	2	4	20	9	17	96	2	1	1	11
PPP2R2A	2	11	10	33	44	61	8	99	136	92	256	188	194	19	1	1	2	26	64	52	54	75	79	78	1	5	9	3	19	62	0	0	3	7
PPP2R5A	2	3	5	14	19	27	1	73	97	58	238	143	123	19	0	0	4	3	48	29	41	58	74	39	1	0	10	3	19	45	1	1	7	15
PPP2R5C	33	57	43	132	213	255	29	1628	1817	1329	3151	2655	2299	219	0	0	3	18	205	141	168	229	283	245	10	10	17	24	37	157	1	1	4	8
PPP3CA	9	18	19	72	76	103	14	96	124	81	227	147	206	19	0	0	0	3	62	43	35	121	62	73	1	3	11	7	13	68	0	0	2	3
PPP3R1	3	9	4	19	31	22	3	69	67	50	152	119	120	9	20	10	27	89	51	36	37	55	62	55	1	1	3	8	10	56	3	2	20	63
PPP4C	4	10	6	27	26	44	6	88	91	75	268	264	226	38	0	0	0	6	77	62	80	124	132	145	0	0	13	3	18	52	2	0	4	22
PPP4R2	0	4	4	19	39	44	4	95	107	67	305	197	236	26	2	0	13	43	57	49	40	95	82	97	2	1	14	9	20	150	1	0	2	18
PPP4R3B	5	8	11	36	57	78	4	128	135	92	348	208	229	29	0	0	3	9	58	20	31	81	67	56	1	0	2	0	3	18	3	1	2	11
PPP6R1	2	6	4	20	43	24	8	93	112	50	243	189	177	22	2	2	14	28	29	33	25	62	51	54	0	0	3	1	1	13	1	3	9	25
PPP6R3	6	7	4	25	31	35	4	91	109	76	246	205	142	28	0	0	0	5	51	42	25	54	69	49	1	0	5	2	3	34	0	0	2	5
PRDM2	24	58	52	101	253	376	29	276	279	174	509	408	433	40	0	0	1	7	91	53	69	90	122	81	2	2	12	10	17	110	0	1	0	3
PRDX5	7	17	12	54	68	97	8	191	181	107	572	332	506	58	10	33	41	60	123	84	104	162	209	215	1	3	13	4	6	146	4	9	31	97
PRDX6	3	6	6	34	49	87	14	188	190	119	543	331	512	57	32	87	200	496	92	72	64	136	137	149	0	2	4	1	7	21	24	29	79	251
PRELID1	4	13	16	65	74	120	19	239	230	189	779	532	548	91	1	1	4	8	425	235	280	614	586	801	0	3	8	7	23	217	2	0	1	11
PREX1	5	6	7	15	26	19	4	135	138	94	283	256	187	21	0	0	1	3	88	82	69	120	141	84	4	7	20	17	23	165	0	1	0	3
PRKACA	29	27	21	89	119	91	13	581	402	314	877	612	458	81	0	2	3	12	241	156	174	279	305	212	5	5	17	8	27	68	1	1	3	0
PRKAG2	5	13	14	62	49	68	10	243	216	185	533	279	232	50	0	0	1	1	202	145	134	268	179	132	2	2	12	1	11	15	0	0	2	10
