gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
ANP32B	18	178	0	7	575	34	191	1	548	27	40	186	1	10	404	108	35	267	4	1677	144	74	275	0	30	1035	226	502	275	24	40	1333	26	152
TLN1	11	323	4	107	385	28	245	5	403	22	2	251	30	161	292	118	1	449	13	1163	128	9	567	39	526	779	144	62	443	244	1485	706	27	118
RPS6	304	1617	0	1	10218	508	1607	6	9361	642	6	1814	10	1	7004	2313	16	2812	3	26768	2835	40	1961	11	3	14425	4044	307	2122	86	17	19310	462	2665
CNPY3	6	172	0	1	95	9	128	2	88	16	1	116	11	5	74	51	0	261	5	232	55	1	238	16	4	163	80	2	247	55	18	183	10	26
PIM1	2	75	1	0	96	3	67	0	74	6	14	65	5	0	87	3	12	87	2	374	14	117	193	15	0	260	18	502	201	51	17	387	0	89
MTCH1	9	156	1	1	182	16	128	2	197	11	1	106	6	1	134	48	5	200	5	389	75	3	147	13	4	329	77	27	164	37	15	281	3	40
SDCBP	5	409	10	2	208	5	274	10	176	8	7	293	97	3	124	35	8	420	46	418	24	24	534	120	7	372	56	182	492	748	46	475	2	31
SORL1	2	222	14	0	589	15	145	21	574	13	1	115	105	1	375	65	0	211	41	1310	83	1	244	80	0	654	44	8	83	487	1	493	13	86
SLTM	10	124	0	3	276	9	82	0	298	19	0	96	5	0	228	72	1	183	3	743	84	2	194	6	8	521	151	23	184	41	35	560	15	65
RTF1	14	79	1	1	208	18	53	2	214	18	0	55	5	1	150	66	0	116	5	549	71	0	125	24	0	436	78	5	86	72	3	462	11	66
RPLP1	498	4325	2	12	15445	772	3092	4	12839	1009	12	4202	22	16	11214	4504	37	6359	15	41893	5437	185	5607	42	62	25951	8144	808	4516	179	198	34216	729	3650
ADAM10	6	126	1	1	178	9	106	2	157	10	1	113	16	6	150	35	1	194	4	347	47	3	216	22	4	201	29	10	198	72	24	198	6	30
SLC28A2	26	176	5	0	679	47	126	7	466	30	0	124	20	1	371	116	0	195	11	1055	154	1	246	53	0	825	115	16	118	74	1	530	27	65
HADHB	4	71	0	0	57	5	43	1	57	4	1	57	4	0	57	23	0	93	4	235	18	7	109	3	2	136	17	37	82	20	12	113	5	23
PNPT1	65	638	18	0	1617	116	487	11	1594	72	1	451	77	1	1117	520	1	1018	49	5089	532	10	1090	146	0	2763	407	39	484	264	2	1873	136	562
RAB1A	2	146	2	0	124	7	90	4	89	6	0	102	12	1	77	16	0	163	2	209	33	2	183	17	3	162	54	11	200	78	30	199	4	13
ACTR2	20	417	3	2	356	33	360	7	402	29	0	298	51	3	255	115	0	628	19	991	152	3	581	63	7	660	196	4	567	338	40	701	19	88
FBXO11	2	67	2	0	119	7	50	0	105	5	0	53	6	0	92	31	0	112	7	225	33	2	108	4	4	144	53	9	97	48	11	177	6	23
ANXA7	0	83	1	3	124	10	58	1	110	3	7	63	10	7	104	41	4	99	2	398	47	27	119	4	12	280	52	75	82	43	38	299	10	47
RPS24	179	2467	0	2	6278	390	2183	4	6094	484	4	2649	18	2	5599	1772	13	4639	7	20176	2130	109	3451	17	9	11544	3546	341	3150	96	30	15709	487	2224
PPIG	15	172	0	1	563	48	102	5	522	32	0	129	26	0	395	118	1	229	12	1298	188	1	225	22	1	976	300	18	222	107	8	857	18	110
CIR1	13	97	7	0	335	20	80	11	343	19	3	70	41	0	226	71	2	148	22	529	115	13	180	60	0	581	136	57	132	197	12	586	13	39
SENP7	6	34	1	3	113	10	21	1	97	7	0	15	1	0	61	35	1	48	1	311	37	0	37	7	2	159	35	12	21	13	6	162	8	25
COX17	14	75	0	2	151	13	53	0	151	10	0	63	2	0	100	54	1	119	2	401	74	18	124	4	9	310	119	31	142	35	36	277	7	33
USP8	28	319	12	0	646	48	259	4	547	43	0	217	42	0	410	143	0	378	20	1288	203	3	380	43	4	850	185	16	292	146	7	644	28	83
TMOD3	17	163	5	5	407	39	138	1	431	36	0	120	17	7	297	90	0	229	14	1130	104	3	261	21	28	693	141	10	219	94	101	578	18	109
SPPL2A	13	120	1	0	298	19	81	1	295	16	0	94	9	0	212	55	0	170	4	694	109	1	226	17	1	497	131	7	151	98	5	345	6	76
HNRNPD	16	186	1	0	339	26	143	1	398	21	0	138	11	0	253	76	1	262	1	941	125	5	238	10	1	808	152	9	200	35	6	750	19	82
BLTP1	12	103	2	0	309	23	81	5	346	14	0	83	14	0	236	97	0	146	16	985	94	4	168	29	1	615	92	5	111	83	7	461	10	77
G3BP2	19	93	3	4	499	24	68	1	455	23	1	65	12	6	281	76	1	176	5	904	108	5	159	15	17	810	221	19	138	61	67	892	24	101
PPP3CA	9	62	1	0	96	18	43	3	124	19	0	35	11	0	81	72	0	121	7	227	76	0	62	13	2	147	103	3	73	68	3	206	14	19
ETV6	4	79	2	1	83	6	63	1	47	7	0	73	7	1	35	17	0	135	2	154	27	0	115	5	4	90	23	1	80	31	17	102	4	18
SCAF11	27	251	5	0	619	42	257	2	606	60	0	190	29	0	401	165	3	396	25	1438	230	4	434	34	7	1009	264	30	288	159	12	907	32	122
POC1B	10	101	0	0	377	21	69	5	389	21	2	84	8	1	265	64	0	113	3	688	73	30	161	15	4	471	59	78	74	51	7	362	12	56
GLTP	5	142	3	0	143	9	111	4	131	6	0	95	5	0	100	24	0	147	4	357	61	0	168	20	2	250	49	2	197	92	1	184	5	46
GIT2	6	48	1	3	67	4	22	4	75	7	0	38	6	1	61	33	0	96	4	249	24	0	75	13	0	177	26	2	44	49	0	127	3	26
TMBIM6	5	324	2	5	390	32	244	13	460	30	4	256	42	7	365	117	3	534	17	1325	132	33	649	34	36	912	168	109	548	216	113	942	19	144
SBNO1	5	53	2	0	122	15	34	1	153	11	0	35	2	0	115	40	0	69	3	455	60	0	103	14	2	240	51	18	62	91	9	157	9	52
VPS37B	4	48	1	1	142	6	40	1	112	1	0	38	11	0	80	24	0	64	10	166	44	0	68	11	3	192	36	4	34	34	11	145	5	17
RHOF	5	30	1	6	163	6	28	0	194	9	0	31	0	5	120	32	0	56	2	607	34	1	45	9	11	365	47	7	50	13	43	274	9	49
SERF2	46	923	2	66	1565	88	784	6	1636	73	44	880	40	94	1189	362	83	1660	17	4515	523	535	1600	32	316	3110	709	1342	2148	417	1139	4187	88	490
BNIP2	2	208	4	6	168	15	157	1	149	5	0	159	15	1	127	42	0	228	6	300	58	1	296	19	24	264	84	8	283	141	62	322	10	31
SRP14	34	342	2	9	1024	76	329	3	1070	65	0	328	25	8	813	233	1	589	8	2818	283	21	593	12	42	1932	462	125	689	146	210	2407	53	306
ANP32A	6	135	13	0	174	14	103	23	180	18	1	85	93	3	150	71	1	220	61	510	61	1	170	208	4	389	62	5	156	563	10	398	15	48
TPM1	15	187	7	35	601	41	176	6	498	25	4	160	23	35	380	122	1	221	7	1116	165	7	323	23	184	762	106	76	163	81	392	524	31	112
SEC11A	10	283	1	0	284	23	205	2	273	17	0	267	3	0	246	72	0	379	6	709	87	2	340	11	0	524	90	6	354	43	9	547	12	72
MAP1LC3B	7	212	2	2	248	24	135	2	247	18	32	173	34	13	206	48	42	285	23	536	107	230	405	60	19	458	199	960	502	302	92	643	18	55
RPS2	412	2695	0	1	11406	565	2048	3	10043	742	6	2596	8	1	8643	3078	11	4187	2	30349	3411	60	2574	14	5	17119	4938	289	2615	44	23	22350	680	3179
TCF25	17	264	1	0	638	37	178	5	511	39	0	211	12	0	361	108	0	297	8	1116	178	2	380	41	2	997	271	22	318	99	19	846	28	100
NCOR1	11	115	0	3	172	19	81	1	223	18	1	67	12	4	145	69	1	156	5	617	77	5	179	14	17	499	129	23	159	60	48	332	16	49
NPEPPS	18	169	2	1	337	17	129	5	320	16	0	107	22	1	219	89	0	258	9	916	133	2	228	44	3	538	119	7	139	103	6	396	15	95
SSH2	15	63	3	3	145	18	64	2	134	11	0	59	20	1	90	42	0	171	11	370	58	1	171	23	5	234	68	8	129	123	10	226	8	24
CLTC	1	101	1	1	78	2	78	2	71	7	0	60	7	3	60	20	0	156	10	209	23	10	168	17	4	192	36	48	130	77	14	175	0	22
GALNT1	1	57	0	0	107	12	54	2	95	7	0	51	3	1	70	23	0	136	1	257	39	2	93	3	4	159	49	7	107	32	16	172	8	19
ARHGDIA	15	214	6	1	272	23	132	8	309	22	0	173	6	1	237	37	0	215	5	672	83	1	271	24	8	549	172	6	305	97	19	597	18	77
CSNK1D	10	88	9	0	168	16	77	4	193	12	0	77	25	0	99	31	0	116	6	299	78	3	97	40	1	293	85	6	124	117	6	271	7	18
TBCD	27	295	20	0	832	50	211	5	775	40	0	204	47	1	534	115	1	322	16	1480	234	7	435	89	1	1174	197	18	229	167	0	690	30	103
NARF	3	35	1	0	103	2	22	2	106	3	5	22	10	1	82	20	3	51	1	288	34	42	34	12	0	191	38	136	28	85	1	181	7	27
SMAD4	7	54	1	0	131	13	60	0	113	6	0	43	3	1	105	38	0	63	3	324	42	2	85	11	2	193	57	7	79	31	1	176	5	19
PMAIP1	18	111	4	0	413	22	63	1	646	23	0	79	13	0	326	38	0	87	16	423	190	0	66	18	0	603	411	46	166	81	6	1139	11	19
TXNL4A	5	63	0	2	163	8	58	0	206	10	0	75	4	3	171	29	2	107	2	429	45	6	109	2	6	378	85	10	131	10	28	427	11	61
BRD4	8	94	3	2	165	18	96	4	187	13	4	55	16	0	120	63	6	150	10	480	70	32	133	24	1	308	73	73	125	128	20	297	12	34
TPGS1	41	366	14	0	1253	69	315	17	1192	59	0	285	50	1	927	280	4	603	29	3160	382	4	701	112	0	1953	272	24	368	269	10	1302	71	323
FEM1A	50	431	11	0	1227	74	286	7	1030	78	1	256	48	1	814	296	0	553	25	2636	365	15	633	75	1	1659	271	35	291	220	3	1142	52	245
SOD1	15	82	0	4	474	20	76	1	465	19	18	91	0	3	365	85	15	95	0	1308	64	120	121	2	14	919	136	1173	287	10	95	1249	25	164
EMP3	20	715	4	14	588	88	567	7	746	49	1	688	10	8	511	173	2	1121	29	1954	295	2	1205	27	39	1152	1142	20	1931	161	237	1517	59	268
RNPEPL1	2	89	1	4	137	8	56	1	138	10	1	62	2	3	124	25	0	124	0	346	38	2	137	4	11	252	42	15	101	17	44	215	6	36
RPS11	294	1810	3	5	4891	525	1691	8	4814	580	14	1676	25	4	3170	1843	20	2644	15	11792	2549	112	1937	25	19	7162	3361	419	2046	230	91	8763	282	843
RPL13A	441	1988	0	3	10444	731	1747	0	10000	844	5	1924	6	2	7974	2987	6	2991	1	25709	3974	30	2220	7	6	15380	5704	195	1940	29	45	19150	561	2220
SH3BGRL3	36	1440	10	162	1529	70	1228	21	1672	54	17	1179	71	224	1380	261	34	2281	31	4023	217	94	2740	87	623	3158	523	301	3420	628	2367	3784	63	466
RPL11	350	2231	1	4	10685	606	2032	7	9060	743	4	2335	11	5	7140	2809	16	3964	9	29825	3032	62	2681	8	8	14163	4789	327	2795	58	50	19237	576	2717
RPS8	356	1917	0	1	9155	497	1634	3	7605	816	5	2280	5	1	6787	3053	3	3545	2	27527	2705	32	2065	2	1	13126	4940	309	2361	35	17	20141	668	2803
MPC2	2	45	0	0	152	11	27	0	119	10	8	44	1	2	124	19	2	62	3	334	41	17	52	4	11	259	88	87	72	26	35	349	6	38
ISG20L2	23	202	3	0	614	48	155	3	582	43	0	157	36	0	406	141	1	261	17	1426	161	6	323	46	2	853	140	6	167	105	3	613	22	114
HDGF	2	88	2	1	84	3	52	0	106	0	8	63	2	2	75	12	14	75	0	244	20	64	114	4	25	188	21	172	86	11	54	185	6	26
XPR1	9	89	3	0	241	22	85	1	246	12	0	70	12	0	214	73	1	117	5	576	72	2	143	27	4	375	77	8	63	38	2	246	14	41
MCL1	8	734	25	0	418	12	535	40	502	15	1	458	144	1	355	24	1	877	98	807	66	4	837	179	1	640	120	13	471	722	8	701	7	74
ENSA	8	83	0	2	250	18	71	4	221	16	0	74	3	1	151	66	1	101	3	502	78	7	112	12	13	451	138	21	128	30	28	495	17	44
JTB	10	137	2	2	310	21	108	3	316	20	2	105	14	5	239	62	2	187	2	713	76	23	227	5	11	522	109	93	251	45	35	657	13	74
TPM3	27	707	16	25	831	52	528	8	881	56	1	534	77	30	584	199	0	1029	32	1909	273	7	1103	120	97	1443	465	47	1482	509	400	1646	54	213
LYST	11	223	2	0	112	8	178	7	160	7	0	242	35	2	78	56	0	298	18	239	104	0	327	38	4	212	84	8	342	224	20	189	3	14
ACP1	6	45	0	4	118	15	31	0	152	4	28	48	0	1	105	52	25	57	1	398	46	78	55	0	18	345	70	331	76	12	46	412	13	58
ARF1	7	260	2	16	325	22	174	5	348	18	11	169	21	26	294	60	13	297	5	759	113	58	361	30	74	659	156	174	358	115	246	710	20	103
GUK1	3	153	1	2	391	15	116	4	477	12	111	141	7	1	360	38	222	231	8	945	55	705	233	17	13	855	128	1611	305	55	52	970	15	132
LBR	5	54	4	0	132	14	49	2	146	16	0	42	20	0	81	41	0	141	8	419	49	1	130	35	2	276	92	34	107	128	17	289	6	41
CALM2	17	569	5	15	576	66	496	4	848	46	0	580	29	9	514	185	6	1110	24	1756	157	20	644	14	33	1243	311	120	868	126	99	1278	54	155
RPS27A	367	1917	3	8	12505	645	1606	6	11367	839	1	2087	23	6	10101	2973	13	3059	12	33054	3377	64	2539	29	19	17876	5403	414	2655	150	95	24154	633	3103
UBXN4	10	103	1	3	261	18	77	1	265	19	0	65	14	2	198	67	0	171	4	730	102	2	144	16	1	556	129	17	146	60	22	525	9	63
RAB5A	4	62	1	2	107	5	36	4	105	4	0	30	8	0	85	16	2	74	9	205	48	16	88	22	1	214	46	48	101	72	11	205	3	22
CTDSP1	2	99	0	1	89	9	64	0	116	8	0	60	0	3	86	35	0	133	3	335	15	2	137	4	13	170	29	0	97	10	15	140	6	20
GASK1A	172	710	14	0	4374	348	836	4	4135	304	3	673	72	3	3160	1086	1	1263	39	10618	1385	35	1150	117	6	5998	1800	276	1175	423	11	5870	135	628
GOLGA4	10	116	1	0	439	14	82	1	442	13	0	65	4	0	352	83	1	148	4	715	165	16	122	14	2	575	132	43	146	39	4	611	10	47
RPL32	391	2048	2	0	12041	684	1915	2	11693	829	9	2131	12	3	8987	3206	32	3809	4	35302	3476	110	2602	20	4	17309	5415	486	2525	82	35	23869	617	3173
ARL6IP5	10	215	1	21	396	10	155	1	376	17	0	223	17	17	361	96	0	349	5	1207	71	2	355	13	71	682	65	20	399	178	205	902	20	177
TMF1	11	62	4	0	262	5	60	0	262	20	1	62	8	0	195	55	0	121	8	481	96	6	100	21	2	551	85	10	85	80	8	435	6	64
NFKBIZ	8	251	51	0	459	3	237	61	518	7	2	347	234	4	327	29	1	290	31	589	48	3	461	232	0	451	31	24	511	1544	4	502	5	99
LPP	18	152	3	3	337	32	133	3	368	32	1	147	14	2	254	141	0	196	10	844	151	3	244	15	3	555	97	5	161	39	8	425	17	90
TBCK	18	241	11	0	677	36	189	4	627	47	0	193	20	0	440	239	0	412	13	2191	226	4	434	44	0	1211	180	5	160	60	5	634	66	200
ANK2	36	342	14	0	1052	55	259	7	855	62	1	258	34	0	764	254	0	481	29	2230	307	2	605	105	0	1579	243	28	283	217	6	1022	42	207
RPS3A	354	2162	1	1	11462	563	1999	2	10914	792	5	2272	7	6	8649	2249	2	2846	1	25654	3153	37	2443	10	7	16607	4941	287	2623	82	31	22895	619	2913
MARCHF6	12	65	4	2	164	11	47	2	148	13	3	37	8	0	137	53	4	95	2	391	55	16	79	9	10	267	89	59	68	43	30	211	8	21
RPL37	476	2686	1	2	13480	802	2302	6	12665	955	2	2660	33	3	9319	3217	11	4598	16	34026	4104	58	3035	57	3	18593	5088	302	2615	313	39	20755	688	3077
BTF3	51	511	0	0	1585	92	435	3	1428	82	52	482	3	3	1147	383	68	825	3	4391	497	219	612	3	7	3059	755	962	749	52	48	3767	66	456
ATG12	11	72	1	0	166	13	38	0	159	6	1	50	2	1	131	36	0	95	3	371	70	1	106	8	0	305	89	9	83	58	6	277	9	41
RNF145	11	53	1	0	179	10	57	2	151	5	0	33	6	0	105	33	0	76	4	310	60	1	103	18	2	394	57	6	108	67	7	309	4	24
KCNMB1	24	226	4	0	435	29	142	2	399	40	0	119	24	0	289	118	2	225	4	845	133	2	242	34	0	584	138	6	137	85	7	387	22	68
ZMAT2	4	53	1	0	128	11	46	2	115	5	12	48	9	2	91	27	9	81	6	341	44	100	102	16	6	186	69	309	101	89	35	284	5	43
PHIP	9	168	2	0	259	20	107	3	278	18	0	97	16	0	193	91	0	195	15	655	117	2	195	10	4	420	122	21	148	57	4	365	10	44
FAXC	10	169	10	0	400	30	121	3	366	20	0	114	32	1	266	91	0	240	20	876	100	0	284	31	0	607	74	6	120	66	1	392	32	96
PNRC1	38	410	18	2	1616	76	363	40	1199	85	11	329	233	1	994	275	10	423	61	2458	315	97	477	227	4	1688	474	368	448	1624	27	2216	44	225
WTAP	11	80	0	1	189	8	81	5	192	16	0	66	10	0	128	37	0	113	7	412	84	6	161	12	3	492	135	13	111	85	17	418	8	44
TLK2	9	62	1	0	195	12	68	1	197	12	0	42	1	1	117	50	0	80	2	383	67	4	92	11	2	270	74	11	70	19	8	238	14	17
SH3KBP1	5	155	1	0	252	9	130	1	268	10	0	137	25	1	183	47	0	210	11	749	49	0	233	13	2	516	81	2	208	131	8	448	10	77
KDM6A	6	79	4	0	241	12	68	4	213	12	0	46	11	1	143	42	1	98	4	405	49	4	61	12	1	213	99	39	80	37	5	324	10	25
MSN	10	376	5	27	365	19	292	10	392	19	0	297	33	10	294	74	0	490	6	978	73	1	549	30	33	546	102	18	629	235	144	656	9	91
NDUFB11	12	133	0	0	322	19	136	2	297	18	1	119	2	0	254	77	1	222	1	949	97	12	249	4	2	720	142	24	228	24	18	894	20	138
NONO	8	122	0	1	247	17	85	2	262	15	0	89	6	0	175	65	0	159	2	547	95	0	151	4	0	531	124	7	138	24	15	487	11	46
IL2RG	13	44	2	1	535	18	16	2	573	22	0	20	23	0	363	89	1	66	11	1220	92	0	40	17	0	743	131	9	45	142	4	901	20	141
RPL10	506	3145	1	5	16425	853	3024	0	16329	1070	7	3678	9	7	12835	4068	11	5527	1	45839	5281	48	4096	14	29	27637	6808	293	3517	73	132	31144	830	4593
SLC25A37	7	202	39	0	83	10	117	50	79	7	310	121	277	2	68	35	395	243	125	290	42	1653	360	181	20	136	32	6871	224	1590	65	182	10	24
TACC1	5	129	6	0	175	13	149	2	159	21	0	100	11	0	124	33	0	165	9	395	76	0	175	23	16	311	94	3	159	76	67	256	8	19
NSD3	16	94	1	1	369	50	86	1	335	24	1	57	12	1	306	102	2	128	8	916	170	14	122	10	0	638	145	37	100	45	7	711	15	82
RPL7	142	1293	0	0	4470	244	1214	1	4003	286	5	1217	6	0	3128	961	6	1815	1	11355	1208	50	1685	6	1	6429	2135	180	1612	32	15	9708	198	919
MTDH	8	244	2	2	395	33	203	2	457	40	0	198	4	3	413	119	0	416	0	1153	157	1	414	6	0	774	243	20	405	29	18	934	19	141
NDUFB9	8	123	1	2	296	9	98	0	259	14	0	101	5	2	214	69	0	165	0	799	69	2	214	7	3	612	105	18	186	30	52	656	16	87
AK3	31	347	8	0	860	59	284	3	871	58	1	233	34	1	595	172	3	433	18	1938	249	6	496	60	4	1289	287	27	299	185	8	909	43	222
ADD3	10	86	4	5	349	28	65	3	360	29	0	54	5	6	294	84	0	102	1	1234	77	0	109	8	26	509	146	14	96	59	84	612	12	99
EIF4EBP2	1	78	0	1	97	3	59	3	109	6	0	49	8	0	72	20	0	111	3	221	15	6	97	8	3	141	20	21	99	34	9	148	4	27
GSTO1	3	233	1	54	90	3	211	1	101	4	0	185	3	21	72	19	0	378	3	340	24	15	321	2	146	250	21	39	408	31	700	196	7	38
RGS10	3	96	0	81	283	6	115	1	281	4	14	89	1	77	239	12	14	239	0	1248	11	34	186	4	233	493	29	99	174	16	835	600	6	104
HSD17B12	14	149	3	1	412	23	84	2	328	25	0	93	24	0	264	103	0	201	9	912	93	5	240	34	4	602	85	7	117	85	14	402	26	95
DGKZ	2	66	0	2	220	3	49	1	203	4	0	47	6	1	154	17	0	110	2	598	18	0	89	11	6	312	19	6	47	45	8	274	1	43
PTPRJ	5	108	3	13	269	18	93	4	249	25	1	91	13	5	186	96	1	187	13	823	80	0	235	24	18	476	62	1	145	113	52	306	18	77
ARFGAP2	14	95	0	1	276	21	82	1	238	20	0	57	12	1	175	89	0	137	2	611	128	2	135	6	2	492	127	15	112	20	9	413	16	42
CCDC82	9	42	0	0	186	8	26	1	167	8	0	38	14	0	117	46	0	73	5	431	60	0	65	10	2	261	83	4	66	58	10	198	5	20
RPS3	255	1368	4	2	9652	381	1171	5	9024	598	2	1555	11	3	8672	2001	5	2276	5	26446	2040	61	1274	4	11	13586	4007	319	1806	81	48	20838	470	2727
LAMTOR1	4	206	0	33	147	11	116	2	156	9	1	115	1	26	119	61	1	246	2	412	56	13	257	8	137	284	75	51	184	52	389	349	10	42
FERMT3	1	125	2	58	89	4	90	1	137	1	0	68	8	60	69	25	0	205	2	325	24	0	245	24	205	226	20	14	190	68	609	204	6	30
FAU	208	1553	10	7	5428	372	1345	19	5054	473	11	1541	65	3	4222	1796	14	2745	37	15326	2074	70	2041	100	23	8661	3296	296	2485	684	112	11547	350	1570
PPP4C	4	77	0	2	88	10	62	0	91	6	0	80	13	0	75	27	0	124	3	268	26	0	132	18	4	264	44	6	145	52	22	226	6	38
ALDOA	1	424	0	9	195	8	235	4	196	12	0	247	1	2	159	37	0	571	1	653	37	2	601	14	32	489	50	12	583	40	203	489	6	101
TMEM219	7	118	1	7	132	7	102	1	145	10	0	85	3	13	109	34	0	144	3	353	31	1	151	8	30	243	71	5	159	4	112	331	5	51
DCUN1D2	38	369	7	0	850	66	273	11	812	48	2	243	34	1	606	213	1	380	23	1789	237	11	501	46	0	1249	192	12	212	146	1	775	33	147
SAP18	10	171	1	2	531	29	126	1	513	32	3	133	9	1	351	107	4	247	3	1071	131	34	258	7	13	870	260	182	381	90	42	1157	25	108
PDCD4	7	65	3	0	597	29	57	4	551	15	0	68	17	0	458	114	0	102	5	1418	134	0	80	17	10	1064	167	11	84	61	27	834	34	101
PIP4K2A	3	42	0	18	227	9	37	3	345	7	39	38	3	19	190	50	54	89	3	711	25	152	83	3	50	393	70	510	72	39	111	354	11	63
RILPL2	1	155	2	2	74	7	156	6	71	9	0	108	19	2	58	24	0	187	11	148	16	0	213	39	14	144	38	0	162	228	25	155	4	20
UBC	90	1244	11	34	2593	215	988	20	2658	149	2	908	109	25	1802	469	6	1624	66	4523	861	50	1686	171	136	4299	1465	225	2052	632	273	4409	144	551
FAM177A1	7	51	5	1	432	11	56	2	397	34	1	54	15	2	319	79	0	116	4	619	101	2	90	17	15	626	99	10	73	113	40	586	12	63
UPF2	17	35	2	0	124	21	37	1	149	14	3	33	7	0	80	71	0	75	3	492	128	3	82	15	1	261	141	32	72	40	12	240	18	47
ADAM17	24	424	6	1	542	47	317	10	509	37	1	255	40	0	353	227	1	594	12	2010	226	2	669	80	3	1047	150	5	299	222	4	650	76	284
ZNF385D	20	128	6	0	327	30	99	3	321	26	0	89	24	2	274	102	3	137	17	788	95	3	153	38	2	503	196	19	134	86	17	448	8	53
CACUL1	4	44	2	0	102	4	45	2	105	4	0	54	13	2	61	20	0	101	8	252	32	1	75	23	1	125	34	6	79	53	7	106	3	16
RABGAP1L	3	52	1	12	136	17	58	0	158	10	2	62	6	3	131	41	0	137	4	381	56	6	104	6	36	317	75	29	104	15	119	211	12	26
TGOLN2	9	213	4	4	290	24	150	4	275	20	0	132	6	2	187	66	0	246	4	756	86	0	281	31	11	476	152	11	304	78	33	474	12	63
USP12	3	42	0	3	78	15	36	0	68	11	21	34	1	0	62	15	20	71	0	124	55	67	48	2	7	134	75	167	75	12	26	131	5	11
TMEM123	14	144	0	0	459	27	141	2	381	12	0	95	8	0	281	60	1	262	20	1327	123	1	210	9	5	573	103	15	202	55	26	1045	7	131
MBNL1	25	262	2	19	729	39	264	4	712	31	1	226	21	12	488	144	2	458	11	1873	145	12	367	19	39	921	185	49	248	98	156	988	34	125
HNRNPDL	27	255	1	0	747	53	246	2	900	40	0	254	4	1	587	181	1	383	2	1937	257	1	395	4	0	1463	368	19	440	34	5	1676	58	214
UTRN	8	155	1	0	296	17	142	1	342	15	0	133	2	0	228	84	0	255	4	743	106	0	200	4	3	455	108	3	154	20	2	484	3	60
CARHSP1	5	37	1	0	111	7	32	0	121	8	1	28	1	1	85	33	7	55	1	391	39	6	75	7	0	303	30	33	67	22	20	231	11	47
CAST	18	415	0	0	469	31	419	5	740	32	1	345	16	1	458	128	0	562	4	1165	129	1	556	17	1	889	357	19	669	186	7	990	23	153
HNRNPU	24	356	3	3	892	40	308	4	776	53	0	237	39	0	562	222	2	584	14	2122	277	5	498	27	2	1381	455	15	445	189	17	1683	43	209
AHCTF1	2	72	1	6	73	8	40	2	78	8	0	47	15	1	39	17	0	40	3	175	18	0	72	27	18	112	45	5	100	83	53	94	1	7
NR4A2	8	84	4	0	657	22	87	4	571	9	0	71	14	1	479	18	0	121	2	608	68	0	53	6	0	603	133	2	68	65	0	525	3	14
CYRIB	11	259	8	0	273	20	190	21	322	15	1	172	66	1	162	66	0	350	33	839	77	3	390	77	1	607	124	4	357	325	7	477	13	85
ASAP1	2	120	1	3	78	7	92	4	73	4	5	67	23	4	47	13	4	142	16	150	23	17	142	23	24	128	46	86	130	159	95	134	4	19
CMIP	5	110	2	14	89	5	89	1	126	6	0	81	12	8	74	15	0	166	4	178	29	2	139	4	46	106	44	2	72	44	109	106	3	11
TRIP12	1	66	3	2	105	8	65	0	94	5	4	44	10	4	78	28	1	117	5	313	49	35	141	14	6	204	48	64	83	54	28	180	5	21
SREK1	13	161	2	0	263	21	137	0	232	15	2	99	10	0	208	54	0	164	4	509	163	3	208	15	4	547	208	13	209	50	6	550	8	48
CHD1	14	286	8	0	501	24	251	10	505	16	1	224	64	0	341	81	1	304	19	747	167	1	246	52	0	713	188	13	281	240	5	599	14	37
ATP5PF	7	121	0	1	287	16	92	1	279	13	2	136	3	5	238	69	0	236	0	860	51	19	190	4	13	548	108	82	252	27	75	766	22	94
VOPP1	4	36	2	0	104	4	29	2	77	16	0	24	13	1	70	25	0	62	1	234	33	0	50	2	2	160	64	2	67	63	0	212	13	35
AZIN1	2	69	1	1	74	11	46	0	87	3	0	48	10	1	66	16	0	51	2	189	16	2	111	7	2	144	39	12	120	86	13	161	4	6
DBI	12	214	0	0	312	43	152	1	323	12	0	157	3	0	242	69	0	272	2	832	112	1	332	5	4	720	167	3	433	51	6	829	28	89
